"Title","Authors","Description","Rating","ISBN","Issued","shelf_no","section"
"FUNDAMENTALS OF COMPUTERS","V. RAJARAMAN, NEEHARIKA ADABALA","The sixth edition of the highly acclaimed “Fundamentals of Computers” lucidly presents how a computer system functions. Both hardware and software aspects of computers are covered. The book begins with how numeric and character data are represented in a computer, how various input and output units function, how different types of memory units are organized, and how data is processed by the processor. The interconnection and communication between the I/O units, the memory, and the processor is explained clearly and concisely. Software concepts such as programming languages, operating systems, and communication protocols are discussed. With growing use of wireless to access computer networks, cellular wireless communication systems, WiFi (Wireless high fidelity), and WiMAX have become important. Thus it has now become part of “fundamental knowledge” of computers and has been included. Besides this, use of computers in multimedia processing has become commonplace and hence is discussed. With the increase in speed of networks and consequently the Internet, new computing environments such as peer to peer, grid, and cloud computing have emerged and will change the future of computing. Hence a new chapter on this topic has been included in this edition. This book is an ideal text for undergraduate and postgraduate students of Computer Applications (BCA and MCA), undergraduate students of engineering and computer science who study fundamentals of computers as a core course, and students of management who should all know the basics of computer hardware and software. It is ideally suited for working professionals who want to update their knowledge of fundamentals of computers. Key features • Fully updated retaining the style and all contents of the fifth edition. • In-depth discussion of both wired and wireless computer networks. • Extensive discussion of analog and digital communications. • Advanced topics such as multiprogramming, virtual memory, DMA, RISC, DSP, RFID, Smart Cards, WiGig, GSM, CDMA, novel I/O devices, and multimedia compression (MP3, MPEG) are described from first principles. • A new chapter on Emerging Computing Environments, namely, peer to peer, grid, and cloud computing, has been added for the first time in an entry level book. • Each chapter begins with learning goals and ends with a summary to aid self-study. • Includes an updated glossary of over 340 technical terms used in the book.",5,"9788120350670",True,4,"D"
"Practical Cyber Forensics","Niranjan Reddy","Become an effective cyber forensics investigator and gain a collection of practical, efficient techniques to get the job done. Diving straight into a discussion of anti-forensic techniques, this book shows you the many ways to effectively detect them. Now that you know what you are looking for, you’ll shift your focus to network forensics, where you cover the various tools available to make your network forensics process less complicated. Following this, you will work with cloud and mobile forensic techniques by considering the concept of forensics as a service (FaSS), giving you cutting-edge skills that will future-proof your career. Building on this, you will learn the process of breaking down malware attacks, web attacks, and email scams with case studies to give you a clearer view of the techniques to be followed. Another tricky technique is SSD forensics, so the author covers this in detail to give you the alternative analysis techniques you’ll need. To keep you up to speed on contemporary forensics, Practical Cyber Forensics includes a chapter on Bitcoin forensics, where key crypto-currency forensic techniques will be shared. Finally, you will see how to prepare accurate investigative reports. What You Will LearnCarry out forensic investigation on Windows, Linux, and macOS systems Detect and counter anti-forensic techniques Deploy network, cloud, and mobile forensics Investigate web and malware attacks Write efficient investigative reports Who This Book Is For Intermediate infosec professionals looking for a practical approach to investigative cyber forensics techniques.",5,"9781484244609",False,20,"B"
"Discrete Mathematics and Its Applications","Kenneth H. Rosen","The companion Web site -- To the student -- The foundations : logic, sets, and functions -- The fundamentals : algorithms, the integers, and matrices -- Mathematical reasoning -- Counting -- Advanced counting techniques -- Relations -- Graphs -- Trees -- Boolean algebra -- Modeling computation","Rating not available","9780071244749",True,22,"C"
"COBOL Programming","M K Roy, Reg Pearson, Deakin University. Faculty of Science. Open Campus Program","Produced for unit SCP161 offered by the Faculty of Science in Deakin University's Open Campus Program.","Rating not available","ISBN not available",False,25,"B"
"COBOL Programming","M K Roy, Reg Pearson, Deakin University. Faculty of Science. Open Campus Program","Produced for unit SCP161 offered by the Faculty of Science in Deakin University's Open Campus Program.","Rating not available","ISBN not available",False,20,"E"
"Computerworld","Author not available","For more than 40 years, Computerworld has been the leading source of technology news and information for IT influencers worldwide. Computerworld's award-winning Web site (Computerworld.com), twice-monthly publication, focused conference series and custom research form the hub of the world's largest global IT media network.","Rating not available","ISBN not available",False,14,"D"
"Beginning COBOL for Programmers","Michael Coughlan","Beginning COBOL for Programmers is a comprehensive, sophisticated tutorial and modular skills reference on the COBOL programming language for established programmers. This book is for you if you are a developer who would like to—or must—add COBOL to your repertoire. Perhaps you recognize the opportunities presented by the current COBOL skills crisis, or are working in a mission critical enterprise which retains legacy COBOL applications. Whatever your situation, Beginning COBOL for Programmers meets your needs as an established programmer moving to COBOL. Beginning COBOL for Programmers includes comprehensive coverage of ANS 85 COBOL features and techniques, including control structures, condition names, sequential and direct access files, data redefinition, string handling, decimal arithmetic, subprograms, and the report writer. The final chapter includes a substantial introduction to object-oriented COBOL. Benefiting from over one hundred example programs, you’ll receive an extensive introduction to the core and advanced features of the COBOL language and will learn to apply these through comprehensive and varied exercises. If you've inherited some legacy COBOL, you’ll be able to grasp the COBOL idioms, understand the constructs, and recognize what's happening in the code you’re working with. Today’s enterprise application developers will find that COBOL skills open new—or old—doors, and this extensive COBOL reference is the book to help you acquire and develop your COBOL skills.",5,"9781430262541",True,9,"B"
"Mining the Social Web","Matthew A. Russell, Mikhail Klassen","Mine the rich data tucked away in popular social websites such as Twitter, Facebook, LinkedIn, and Instagram. With the third edition of this popular guide, data scientists, analysts, and programmers will learn how to glean insights from social media—including who’s connecting with whom, what they’re talking about, and where they’re located—using Python code examples, Jupyter notebooks, or Docker containers. In part one, each standalone chapter focuses on one aspect of the social landscape, including each of the major social sites, as well as web pages, blogs and feeds, mailboxes, GitHub, and a newly added chapter covering Instagram. Part two provides a cookbook with two dozen bite-size recipes for solving particular issues with Twitter. Get a straightforward synopsis of the social web landscape Use Docker to easily run each chapter’s example code, packaged as a Jupyter notebook Adapt and contribute to the code’s open source GitHub repository Learn how to employ best-in-class Python 3 tools to slice and dice the data you collect Apply advanced mining techniques such as TFIDF, cosine similarity, collocation analysis, clique detection, and image recognition Build beautiful data visualizations with Python and JavaScript toolkits","Rating not available","9781491973523",False,17,"C"
"Programming With World Wide Web, 4/E","Sebesta","Description not available",4.5,"9788131724170",False,9,"C"
"Understanding Virtual Reality","William R. Sherman, Alan B. Craig","Understanding Virtual Reality: Interface, Application, and Design, Second Edition, arrives at a time when the technologies behind virtual reality have advanced dramatically in their development and deployment, providing meaningful and productive virtual reality applications. The aim of this book is to help users take advantage of ways they can identify and prepare for the applications of VR in their field, whatever it may be. The included information counters both exaggerated claims for VR, citing dozens of real-world examples. By approaching VR as a communications medium, the authors have created a resource that will remain relevant even as the underlying technologies evolve. You get a history of VR, along with a good look at systems currently in use. However, the focus remains squarely on the application of VR and the many issues that arise in application design and implementation, including hardware requirements, system integration, interaction techniques and usability. Features substantive, illuminating coverage designed for technical or business readers and the classroom Examines VR's constituent technologies, drawn from visualization, representation, graphics, human-computer interaction and other fields Provides (via a companion website) additional case studies, tutorials, instructional materials and a link to an open-source VR programming system Includes updated perception material and new sections on game engines, optical tracking, VR visual interface software and a new glossary with pictures","Rating not available","9780128010389",True,25,"D"
"ISE Database System Concepts","Abraham Silberschatz, Henry F. Korth, S. Sudarshan","Database System Concepts by Silberschatz, Korth and Sudarshan is now in its 7th edition and is one of the cornerstone texts of database education. It presents the fundamental concepts of database management in an intuitive manner geared toward allowing students to begin working with databases as quickly as possible. The text is designed for a first course in databases at the junior/senior undergraduate level or the first year graduate level. It also contains additional material that can be used as supplements or as introductory material for an advanced course. Because the authors present concepts as intuitive descriptions, a familiarity with basic data structures, computer organization, and a high-level programming language are the only prerequisites. Important theoretical results are covered, but formal proofs are omitted. In place of proofs, figures and examples are used to suggest why a result is true.","Rating not available","9781260084504",True,20,"E"
"Design and Analysis of Algorithms","Sandeep Sen, Amit Kumar","Focuses on the interplay between algorithm design and the underlying computational models.","Rating not available","9781108496827",True,26,"B"
"Multimedia Fundamentals, Volume 1","Ralf Steinmetz, Klara Nahrstedt","The state-of-the-art in multimedia content analysis, media foundations, and compression Covers digital audio, images, video, graphics, and animation Includes real-world project sets that help you build and test your expertise By two of the world's leading experts in advanced multimedia systems development The practical, example-rich guide to media coding and content processing for every multimedia developer. From DVDs to the Internet, media coding and content processing are central to the effective delivery of high-quality multimedia. In this book, two of the field's leading experts introduce today's state-of-the-art, presenting realistic examples and projects designed to help implementers create multimedia systems with unprecedented performance. Ralf Steinmetz and Klara Nahrstedt introduce the fundamental characteristics of digital audio, images, video, graphics, and animation; demonstrate powerful new approaches to content analysis and compression; and share expert insights into system and end-user issues every advanced multimedia professional must understand. Coverage includes: Generic characteristics of multimedia and data streams, and their impact on multimedia system design Essential audio concepts and representation techniques: sound perception, psychoacoustics, music, MIDI, Speech signals, and related I/O and transmission issues Graphics and image characteristics: image formats, analysis, synthesis, reconstruction, and output Video signals, television formats, digitization, and computer-based animation issues Fundamental compression methods: run-length, Huffman, and subband coding Multimedia compression standards: JPEG, H.232, and various MPEG techniques Optical storage technologies and techniques: CD-DA, CD-ROM, DVD, and beyond Content processing techniques: Image analysis, video processing, cut detection, and audio analysis First in an authoritative 3-volume set on tomorrow's robust multimedia desktop: real-time audio, video, and streaming media. Multimedia Fundamentals offers a single, authoritative source for the knowledge and techniques you need to succeed with any advanced multimedia development project. Look for Volume 2 focusing on networking and operating system-related issues, and Volume 3 focusing on service and application issues.","Rating not available","9780132441773",True,16,"E"
"Computer Vision","Richard Szeliski","Computer Vision: Algorithms and Applications explores the variety of techniques used to analyze and interpret images. It also describes challenging real-world applications where vision is being successfully used, both in specialized applications such as image search and autonomous navigation, as well as for fun, consumer-level tasks that students can apply to their own personal photos and videos. More than just a source of “recipes,” this exceptionally authoritative and comprehensive textbook/reference takes a scientific approach to the formulation of computer vision problems. These problems are then analyzed using the latest classical and deep learning models and solved using rigorous engineering principles. Topics and features: Structured to support active curricula and project-oriented courses, with tips in the Introduction for using the book in a variety of customized courses Incorporates totally new material on deep learning and applications such as mobile computational photography, autonomous navigation, and augmented reality Presents exercises at the end of each chapter with a heavy emphasis on testing algorithms and containing numerous suggestions for small mid-term projects Includes 1,500 new citations and 200 new figures that cover the tremendous developments from the last decade Provides additional material and more detailed mathematical topics in the Appendices, which cover linear algebra, numerical techniques, estimation theory, datasets, and software Suitable for an upper-level undergraduate or graduate-level course in computer science or engineering, this textbook focuses on basic techniques that work under real-world conditions and encourages students to push their creative boundaries. Its design and exposition also make it eminently suitable as a unique reference to the fundamental techniques and current research literature in computer vision.","Rating not available","9783030343729",True,26,"E"
"UNIX Utilities","Ramkrishna S. Tare","This book is about UNIX utilities; it teaches readers how to use the most popular of the numerous utilities that are available in the UNIX environment. While there are numerous versions of UNIX, the utilities herein discussed hardly vary across versions, and are available in most versions. The primary purpose of this book is to simplify utilities that may look cryptic and advanced in the reference manuals. The examples given are not intended to demonstrate any particular programming style.","Rating not available","ISBN not available",False,26,"C"
"Social Media Mining","Reza Zafarani, Mohammad Ali Abbasi, Huan Liu","Integrates social media, social network analysis, and data mining to provide an understanding of the potentials of social media mining.","Rating not available","9781107018853",False,21,"E"
"How to Cheat at Configuring Open Source Security Tools","Michael Gregg, Eric Seagren, Angela Orebaugh, Matt Jonkman, Raffael Marty","The Perfect Reference for the Multitasked SysAdmin This is the perfect guide if network security tools is not your specialty. It is the perfect introduction to managing an infrastructure with freely available, and powerful, Open Source tools. Learn how to test and audit your systems using products like Snort and Wireshark and some of the add-ons available for both. In addition, learn handy techniques for network troubleshooting and protecting the perimeter. * Take Inventory See how taking an inventory of the devices on your network must be repeated regularly to ensure that the inventory remains accurate. * Use Nmap Learn how Nmap has more features and options than any other free scanner. * Implement Firewalls Use netfilter to perform firewall logic and see how SmoothWall can turn a PC into a dedicated firewall appliance that is completely configurable. * Perform Basic Hardening Put an IT security policy in place so that you have a concrete set of standards against which to measure. * Install and Configure Snort and Wireshark Explore the feature set of these powerful tools, as well as their pitfalls and other security considerations. * Explore Snort Add-Ons Use tools like Oinkmaster to automatically keep Snort signature files current. * Troubleshoot Network Problems See how to reporting on bandwidth usage and other metrics and to use data collection methods like sniffing, NetFlow, and SNMP. * Learn Defensive Monitoring Considerations See how to define your wireless network boundaries, and monitor to know if they’re being exceeded and watch for unauthorized traffic on your network. Covers the top 10 most popular open source security tools including Snort, Nessus, Wireshark, Nmap, and Kismet Follows Syngress' proven ""How to Cheat"" pedagogy providing readers with everything they need and nothing they don't","Rating not available","9780080553566",True,31,"B"
"Modern C++ Design","Andrei Alexandrescu","This title documents a convergence of programming techniques - generic programming, template metaprogramming, object-oriented programming and design patterns. It describes the C++ techniques used in generic programming and implements a number of industrial strength components.",4,"9780201704310",False,13,"A"
"Modern C++ Design","Andrei Alexandrescu","This title documents a convergence of programming techniques - generic programming, template metaprogramming, object-oriented programming and design patterns. It describes the C++ techniques used in generic programming and implements a number of industrial strength components.",4,"9780201704310",True,15,"B"
"Learning UML","Sinan Si Alhir","This new book is the definitive primer for UML, and starts with the foundational concepts of object-orientation in order to provide the proper context for explaining UML.",2.5,"9780596003449",True,8,"A"
"PROFESSIONAL JAVA SERVER PROGRAMMING J2EE 1.3 EDITION","SUBRAHMANYAM ALLAMARAJU 외","Description not available","Rating not available","9788976276933",False,1,"A"
"PROFESSIONAL JAVA SERVER PROGRAMMING J2EE 1.3 EDITION","SUBRAHMANYAM ALLAMARAJU 외","Description not available","Rating not available","9788976276933",True,25,"E"
"Graphic Art for the BBC Computer","Boris Allan","Description not available","Rating not available","9780946408085",False,12,"D"
"Graphic Art for the Electron Computer","Boris Allan","Description not available","Rating not available","9780946408207",False,15,"C"
"Graphic Art on the Commodore 64","Boris Allan","Description not available","Rating not available","9780946408153",True,17,"E"
"Building with LOGO on the Commodore 64","Boris Allan","Description not available","Rating not available","9780946408481",False,3,"C"
"Introduction to Computer Performance Analysis with Mathematica","Arnold O. Allen","Computer Systems Organization -- Performance of Systems.","Rating not available","ISBN not available",False,19,"B"
"Introduction to Relational Databases and SQL Programming","Christopher Allen, Simon Chatwin, Catherine Creary","This textbook provides a hands-on approach to relational database design and database management within an Oracle context.","Rating not available","9780072229240",True,27,"B"
"Oracle Database 10g PL/SQL 101","Christopher Allen","Perform database functions quickly and easily using the comprehensive information in this step-by-step guide. Youll learn how to manage; query; and manipulate data; use SQL*Plus; create SQL functions; and write practical PL/SQL applications. --",1,"9780072255409",False,20,"B"
"Windows to Linux Migration Toolkit","David Allen","This book will teach people how to migrate systems from Windows to Linux. It provides migration process planning, automated migration scripts, anti-virus / anti-spam solutions, and specific migration and deployment details for all relevant technologies. IT professionals who wish to maximize the value of their Windows to Linux migration services will find this book valuable. The book will help them fine-tune their migration services to make them more efficient, thorough, feature-enhanced, and cost-effective by utilizing migration scripts and best practices gleaned from the author's many years of real-world migrations in large and small companies. * The book and fully functioning scripts on the CD-ROM work for migrations from Windows NT or Windows 2000 to any Linux distribution. * David Allen has done over 25,000 user migrations from Windows to Linux. * Microsoft will stop supporting Windows NT in December 2004 forcing over 2 million enterprise customers to migrate from Windows NT to a new sever operating system. Both IBM and Dell are offering enterprise servers running Linux which will allow customers to realize a 50% reduction in TCO. In 2003 Linux servers represented the largest growth segment in the Server market, and all the major research groups indicate this trend will continue through t least 2007.","Rating not available","9780080481760",True,19,"D"
"Natural Language Understanding","Allen","Description not available",3.5,"9788131708958",False,18,"E"
"Optimizing Compilers for Modern Architectures: A Dependence-Based Approach","Randy Allen, Ken Kennedy","Modern computer architectures designed with high-performance microprocessors offer tremendous potential gains in performance over previous designs. Yet their very complexity makes it increasingly difficult to produce efficient code and to realize their full potential. This landmark text from two leaders in the field focuses on the pivotal role that compilers can play in addressing this critical issue. The basis for all the methods presented in this book is data dependence, a fundamental compiler analysis tool for optimizing programs on high-performance microprocessors and parallel architectures. It enables compiler designers to write compilers that automatically transform simple, sequential programs into forms that can exploit special features of these modern architectures. The text provides a broad introduction to data dependence, to the many transformation strategies it supports, and to its applications to important optimization problems such as parallelization, compiler memory hierarchy management, and instruction scheduling. The authors demonstrate the importance and wide applicability of dependence-based compiler optimizations and give the compiler writer the basics needed to understand and implement them. They also offer cookbook explanations for transforming applications by hand to computational scientists and engineers who are driven to obtain the best possible performance of their complex applications. The approaches presented are based on research conducted over the past two decades, emphasizing the strategies implemented in research prototypes at Rice University and in several associated commercial systems. Randy Allen and Ken Kennedy have provided an indispensable resource for researchers, practicing professionals, and graduate students engaged in designing and optimizing compilers for modern computer architectures. * Offers a guide to the simple, practical algorithms and approaches that are most effective in real-world, high-performance microprocessor and parallel systems. * Demonstrates each transformation in worked examples. * Examines how two case study compilers implement the theories and practices described in each chapter. * Presents the most complete treatment of memory hierarchy issues of any compiler text. * Illustrates ordering relationships with dependence graphs throughout the book. * Applies the techniques to a variety of languages, including Fortran 77, C, hardware definition languages, Fortran 90, and High Performance Fortran. * Provides extensive references to the most sophisticated algorithms known in research.","Rating not available","9781493303540",True,23,"E"
"Information Systems: Foundation of E-Business, 4/e","Alter","Description not available","Rating not available","9788177587784",True,25,"E"
"Data Structures and Algorithms in C++","Michael T. Goodrich, Roberto Tamassia, David M. Mount","An updated, innovative approach to data structures and algorithms Written by an author team of experts in their fields, this authoritative guide demystifies even the most difficult mathematical concepts so that you can gain a clear understanding of data structures and algorithms in C++. The unparalleled author team incorporates the object-oriented design paradigm using C++ as the implementation language, while also providing intuition and analysis of fundamental algorithms. Offers a unique multimedia format for learning the fundamentals of data structures and algorithms Allows you to visualize key analytic concepts, learn about the most recent insights in the field, and do data structure design Provides clear approaches for developing programs Features a clear, easy-to-understand writing style that breaks down even the most difficult mathematical concepts Building on the success of the first edition, this new version offers you an innovative approach to fundamental data structures and algorithms.",5,"9780470383278",True,10,"B"
"The E-business (r)evolution","Daniel Amor","E-business incorporates the broader picture and includes topics such as marketing online, ensuring security, payment solutions. This book offers insights into these, and other, areas, and offers the reader a description of their options.","Rating not available","ISBN not available",False,2,"C"
"Handling Tough Job Interviews","Julie-Ann Amos","Covers all kinds of interview, from recruitment agencies and headhunters to employer and human resources.","Rating not available","9781857038453",False,19,"B"
"J2EE Web Services on BEA WebLogic","Subbarao","""Very impressive work. This book is valuable for beginning and intermediate technologists."" Dwight Mamanteo, Technical Manager, BEA Systems ""Provides explanations of Web services, tuning tips, and discussions on security that will likely be of benefit to developers as they create their Web services."" Robert W. Husted, Member, Technical Staff, Requisite Software Build Web services infrastructure based on service-oriented architecture (SOA) Implement enterprise-class Web services using WebLogic and J2EE Complete lifecycle coverage with best practices: design, prototyping, development, testing, deployment, and management Real-world enterprise Web services implementation with J2EE and WebLogic You've seen plenty of theory about Web services. This book is about the reality: what it takes to successfully implement J2EE Web services with BEA WebLogic in complex enterprise environments. Anjali Anagol-Subbarao, one of the world's leading Web services experts, offers powerful insights for every stage of the Web services lifecycle: design, prototyping, development, testing, deployment, and management. Anagol-Subbarao draws on her experience architecting and building Web services infrastructure for HP's worldwide operations and takes on the challenges that face every enterprise implementer. She demonstrates how to design robust Web services that align with business processes, smoothly integrate with existing infrastructure, deliver superior performance and security, and can be managed effectively. Coverage includes Primers on WebLogic Workshop, WebLogic Server, WLI, and J2EE Web services technology Building effective service-oriented architectural (SOA) frameworks Translating designs into working code Designing for end-to-end security and tuning for high performance Testing Web services and deploying them to production environments Addressing the unique challenges associated with managing distributed Web services © Copyright Pearson Education. All rights reserved.","Rating not available","9788177581324",True,23,"D"
"J2EE Web Services on BEA WebLogic","Subbarao","""Very impressive work. This book is valuable for beginning and intermediate technologists."" Dwight Mamanteo, Technical Manager, BEA Systems ""Provides explanations of Web services, tuning tips, and discussions on security that will likely be of benefit to developers as they create their Web services."" Robert W. Husted, Member, Technical Staff, Requisite Software Build Web services infrastructure based on service-oriented architecture (SOA) Implement enterprise-class Web services using WebLogic and J2EE Complete lifecycle coverage with best practices: design, prototyping, development, testing, deployment, and management Real-world enterprise Web services implementation with J2EE and WebLogic You've seen plenty of theory about Web services. This book is about the reality: what it takes to successfully implement J2EE Web services with BEA WebLogic in complex enterprise environments. Anjali Anagol-Subbarao, one of the world's leading Web services experts, offers powerful insights for every stage of the Web services lifecycle: design, prototyping, development, testing, deployment, and management. Anagol-Subbarao draws on her experience architecting and building Web services infrastructure for HP's worldwide operations and takes on the challenges that face every enterprise implementer. She demonstrates how to design robust Web services that align with business processes, smoothly integrate with existing infrastructure, deliver superior performance and security, and can be managed effectively. Coverage includes Primers on WebLogic Workshop, WebLogic Server, WLI, and J2EE Web services technology Building effective service-oriented architectural (SOA) frameworks Translating designs into working code Designing for end-to-end security and tuning for high performance Testing Web services and deploying them to production environments Addressing the unique challenges associated with managing distributed Web services © Copyright Pearson Education. All rights reserved.","Rating not available","9788177581324",True,5,"A"
"Data Warehousing in the Real World","Anahory","Description not available",4,"9788131704592",False,26,"E"
"Data Warehousing in the Real World","Sam Anahory, Dennis Murray","Description not available","Rating not available","9788178083872",True,29,"E"
"Data Warehousing in the Real World","Anahory","Description not available",4,"9788131704592",False,17,"D"
"Head First Networking","Al Anderson, Ryan Benedetti","Frustrated with networking books so chock-full of acronyms that your brain goes into sleep mode? Head First Networking's unique, visually rich format provides a task-based approach to computer networking that makes it easy to get your brain engaged. You'll learn the concepts by tying them to on-the-job tasks, blending practice and theory in a way that only Head First can. With this book, you'll learn skills through a variety of genuine scenarios, from fixing a malfunctioning office network to planning a network for a high-technology haunted house. You'll learn exactly what you need to know, rather than a laundry list of acronyms and diagrams. This book will help you: Master the functionality, protocols, and packets that make up real-world networking Learn networking concepts through examples in the field Tackle tasks such as planning and diagramming networks, running cables, and configuring network devices such as routers and switches Monitor networks for performance and problems, and learn troubleshooting techniques Practice what you've learned with nearly one hundred exercises, questions, sample problems, and projects Head First's popular format is proven to stimulate learning and retention by engaging you with images, puzzles, stories, and more. Whether you're a network professional with a CCNA/CCNP or a student taking your first college networking course, Head First Networking will help you become a network guru.","Rating not available","9781449368142",False,24,"C"
"Head First Networking","Al Anderson, Ryan Benedetti","Frustrated with networking books so chock-full of acronyms that your brain goes into sleep mode? Head First Networking's unique, visually rich format provides a task-based approach to computer networking that makes it easy to get your brain engaged. You'll learn the concepts by tying them to on-the-job tasks, blending practice and theory in a way that only Head First can. With this book, you'll learn skills through a variety of genuine scenarios, from fixing a malfunctioning office network to planning a network for a high-technology haunted house. You'll learn exactly what you need to know, rather than a laundry list of acronyms and diagrams. This book will help you: Master the functionality, protocols, and packets that make up real-world networking Learn networking concepts through examples in the field Tackle tasks such as planning and diagramming networks, running cables, and configuring network devices such as routers and switches Monitor networks for performance and problems, and learn troubleshooting techniques Practice what you've learned with nearly one hundred exercises, questions, sample problems, and projects Head First's popular format is proven to stimulate learning and retention by engaging you with images, puzzles, stories, and more. Whether you're a network professional with a CCNA/CCNP or a student taking your first college networking course, Head First Networking will help you become a network guru.","Rating not available","9781449368142",True,5,"C"
"USB System Architecture","Don Anderson, MindShare, Inc","""This series of books is truly an important part of my library.... They are consistently accurate.... I would recommend them to anyone doing hardware design or support, as well as to any developers who write low-level system code."" Paul Tomlinson ""Windows Developer's Journal"" ""Universal Serial Bus System Architecture ""provides an in-depth discussion of USB and is based on the 1.0 version of the Universal Serial Bus specification. It focuses on the USB protocol, signaling environment, and electrical specifications, along with the hardware/software interaction required to configure and access USB devices. Although this book does not focus on writing USB device drivers, it does contain useful background information that aids in understanding the USB software environment. Key topics include: differential signaling environment device configuration suspend/resume operations device descriptors device requests (commands) transfer mechanisms USB transaction protocols bus-powered devices self-powered devices host controller designs (UHC and OHC) error detection and handling device class definitions If you design or test hardware or software that involves USB, ""Universal Serial Bus System Architecture ""is an essential, time-saving tool. The ""PC System Architecture Series"" is a crisply written and comprehensive set of guides to the most important PC hardware standards. Each title is designed to illustrate the relationship between the software and hardware and explains thoroughly the architecture, features, and operations of systems built using one particular type of chip or hardware specification. MindShare Inc.is one of the leading technical training companies in the computer industry, providing innovative courses for dozens of companies, including Intel, IBM, and Compaq. Don Anderson passes on his wealth of experience in digital electronics and computer design by training engineers, programmers, and technicians for MindShare. 0201461374B04062001","Rating not available","9780201461374",True,29,"D"
"PCI System Architecture","Don Anderson, Tom Shanley, MindShare, Inc","Learn all you need to know to engineer reliable, high-performance PCI products with text written in practical and comprehensive prose. The bestselling PCI book for computer engineers now fully updated for PCI Revision 2.2.",4,"9780201309744",False,2,"C"
"PCI System Architecture","Don Anderson, Tom Shanley, MindShare, Inc","Learn all you need to know to engineer reliable, high-performance PCI products with text written in practical and comprehensive prose. The bestselling PCI book for computer engineers now fully updated for PCI Revision 2.2.",4,"9780201309744",False,10,"E"
"PCI System Architecture","Don Anderson, Tom Shanley, MindShare, Inc","Learn all you need to know to engineer reliable, high-performance PCI products with text written in practical and comprehensive prose. The bestselling PCI book for computer engineers now fully updated for PCI Revision 2.2.",4,"9780201309744",True,15,"C"
"An Introduction to Neural Networks","Kevin Gurney","Though mathematical ideas underpin the study of neural networks, the author presents the fundamentals without the full mathematical apparatus. All aspects of the field are tackled, including artificial neurons as models of their real counterparts; the geometry of network action in pattern space; gradient descent methods, including back-propagation; associative memory and Hopfield nets; and self-organization and feature maps. The traditionally difficult topic of adaptive resonance theory is clarified within a hierarchical description of its operation. The book also includes several real-world examples to provide a concrete focus. This should enhance its appeal to those involved in the design, construction and management of networks in commercial environments and who wish to improve their understanding of network simulator packages. As a comprehensive and highly accessible introduction to one of the most important topics in cognitive and computer science, this volume should interest a wide range of readers, both students and professionals, in cognitive science, psychology, computer science and electrical engineering.","Rating not available","9781482286991",True,11,"B"
"Just Enough UNIX","Paul K. Andersen","""Just Enough UNIX"" provides a quick and gentle introduction to the UNIX operating system. The fifth edition of this highly successful text reflects changes and updates to the UNIX curriculum that have taken place since the publication of the fourth edition. The book is written in a clear, straightforward style that avoids unnecessary jargon. This short, yet comprehensive text covers the basics of UNIX. It can be used in both a freshman engineering course or to supplement other courses where the student needs to learn UNIX for the first time. The book is enhanced by strong pedagogical tools that will be very useful to those in the classroom, as well as those engaged in self-study.","Rating not available","ISBN not available",True,23,"C"
"TestPrep MCSE.","William J. Anderson","This updated edition is designed as a self-contained supplement for all MCSE candidates. The book tests readers with hundreds of questions organized by objective, then follows the question sections with answers and in-depth explanations.","Rating not available","9780735700123",False,4,"E"
"Professional WPF Programming","Chris Andrade, Shawn Livermore, Mike Meyers, Scott Van Vliet","Professional WPF Programming If you want to learn how to build killer user interfaces for Windows and the web, then this book is for you. It arms you with the tools and code you'll need to effectively utilize the Windows Presentation Foundation (WPF). From creating appealing graphics and animated structures to enhancing performance and security, you'll be programming in no time. First you'll explore the WPF framework and learn how to develop basic applications with ASP.NET or Visual Basic(r). Next you'll discover how to build more sophisticated WPF interfaces using Microsoft(r) ExpressionBlend and then progress to more advanced programming techniques. Throughout the book, you'll find best practices for enterprise architectures using the WPF and its underlying technology. All this will help you quickly learn how to develop next-generation applications on the .NET 2.0 platform using the WPF. What you will learn from this book How to write applications with identical UIs on both Windows and the web Tips for collaborating design and code development with Microsoft(r) Expression Blend All about the object models, built-in server controls, HTML markup, code-behind, and the coordinative structure of each file How to migrate Win32 applications to WPF Techniques for integrating special effects and custom controls into an application Advanced development concepts, including building workflows and a WCF service Who this book is for This book is for experienced .NET developers who want to begin creating WPF web and desktop applications. Wrox Professional guides are planned and written by working programmers to meet the real-world needs of programmers, developers, and IT professionals. Focused and relevant, they address the issues technology professionals face every day. They provide examples, practical solutions, and expert education in new technologies, all designed to help programmers do a better job.","Rating not available","9780470175026",False,31,"A"
"Beginning Relational Data Modeling","Sharon Lee Allen, Evan Terry","*Immediately accessible to anyone who must design a relational data model—regardless of prior experience *Concise, straightforward explanations to a usually complex/ jargon-rich discipline *Examples are based on extensive author experience modeling for real business systems","Rating not available","9781430200154",False,20,"B"
"Beginning Relational Data Modeling","Sharon Lee Allen, Evan Terry","*Immediately accessible to anyone who must design a relational data model—regardless of prior experience *Concise, straightforward explanations to a usually complex/ jargon-rich discipline *Examples are based on extensive author experience modeling for real business systems","Rating not available","9781430200154",True,25,"D"
"Rings, Fields and Groups","R. B. J. T. Allenby","This book provides a stimulating and unusiual introduction to the results, methods and ideas which are now commonly studied in abstract algebra courses in universities and polytechnics. The mixture of informal and formal presentation generates the enthusiasm of the reader without neglecting the axiomatic approach necessary for the serious study.","Rating not available","ISBN not available",True,1,"B"
